gender,age,health_rating,StudentIQ,no_of_courses,Marks
F,19,5,100,14,62.25
M,16,4,115,10,59.32
M,16,1,109,12,79.13
F,15,5,116,14,82.1
F,18,5,99,7,97.55
F,17,5,83,3,97.34
F,15,4,108,16,57.99
F,17,5,108,20,96.05
F,16,5,105,2,52.12
M,16,2,111,8,59.44
F,16,5,85,1,78.15
M,15,5,88,17,98.48
F,15,5,78,5,79.87
M,17,5,102,16,87.37
F,16,3,104,5,67.93
M,18,4,85,9,92.66
F,18,5,113,2,71.07
F,16,1,114,18,81.88
F,16,5,93,20,57.88
M,16,5,101,7,60.85
F,15,5,116,7,81.87
F,15,1,94,8,52.06
M,15,3,112,11,63.01
F,15,1,103,18,61.32
M,16,5,92,9,69.59
M,16,2,78,4,84.98
F,15,5,91,13,71.94
F,16,1,105,3,50.65
M,17,5,89,10,58
F,15,5,88,3,67.52
F,15,5,96,10,89.8
F,15,3,97,7,99.2
F,15,5,98,17,59.26
F,15,1,121,9,53.83
M,16,5,82,1,92.71
M,15,5,101,12,77.75
M,18,4,103,20,70.56
M,16,5,100,14,68.8
F,15,3,111,18,93.35
M,19,4,113,2,79.65
F,17,4,107,5,82.54
M,15,1,87,12,52.39
M,17,5,101,7,66.79
F,18,4,99,15,53.83
M,16,3,112,17,60.76
M,16,5,95,5,58.76
M,16,5,102,13,63.18
M,17,5,115,11,81.51
M,17,3,96,10,92.14
M,15,5,100,5,85.87
M,16,2,110,11,65.95
M,17,5,90,1,67.09
M,17,2,113,2,96.72
M,16,4,88,13,81.21
F,16,3,111,6,62.98
F,16,4,95,17,63.26
F,16,3,104,2,67.29
M,16,2,101,17,59.62
M,16,3,99,20,77.91
M,17,5,97,14,74.02
F,16,3,98,6,73.95
F,16,4,97,17,89.23
M,17,4,92,3,53.28
F,16,5,96,18,90.08
M,17,4,115,11,92.04
M,16,3,81,17,65.78
M,17,2,110,13,85.14
M,16,3,109,3,82.66
M,16,3,89,14,59.21
F,17,5,115,5,99.11
F,17,1,102,16,57.24
F,16,1,111,2,67.01
M,17,4,87,4,89.01
M,16,3,104,5,59.14
M,16,5,88,3,92.95
F,17,3,86,20,76.16
M,17,3,115,10,61.56
F,16,2,93,7,86.61
F,17,3,111,6,78.24
M,17,5,104,7,69.28
M,16,5,110,19,93.54
M,16,3,101,13,97.08
F,17,5,92,12,88.91
M,17,5,85,19,86.68
M,16,3,91,12,88.38
F,17,2,101,3,73.96
F,16,3,98,11,96.59
F,16,2,105,11,95.01
F,16,4,104,9,79.23
F,17,1,109,5,60
F,17,3,101,9,76.92
F,16,5,107,18,97.84
F,17,5,101,13,99.14
F,16,4,118,2,83.56
F,16,1,96,19,96.58
F,16,5,107,13,83.96
F,17,4,97,3,84.64
F,19,3,114,12,89.88
M,17,3,91,9,50.16
F,16,4,97,12,60.12
M,18,5,91,5,98.12
F,17,3,94,19,75
F,17,1,113,6,82.81
F,17,1,105,6,56.46
M,18,4,85,2,99.78
F,17,3,119,15,62.09
F,17,4,96,14,67.19
F,17,5,93,17,57.92
F,17,5,87,3,80.51
F,16,3,91,8,92.06
M,18,4,117,7,55.25
F,16,5,116,11,73.66
F,18,4,111,12,56.99
F,17,3,114,2,71.17
M,17,3,93,6,65.28
M,18,3,117,2,84.16
F,17,3,106,18,55.15
F,17,3,86,7,99.03
M,17,1,108,13,74.19
M,17,2,103,10,62.79
M,16,1,96,15,67.03
M,16,5,101,9,52.03
M,16,2,78,2,66.82
M,17,4,103,13,56.38
F,16,5,97,16,60.34
F,16,5,107,15,93.15
F,18,3,88,2,98.6
F,18,5,96,20,69.29
F,18,3,84,11,68.3
M,18,1,115,18,56.71
M,17,5,97,16,80.7
F,17,3,106,20,75.12
F,17,4,105,19,82.44
F,16,5,75,17,72.59
F,17,3,88,16,80.94
F,17,5,92,20,83.44
M,18,2,98,13,89.04
F,17,1,108,4,66.64
F,17,5,106,18,55.17
F,17,4,124,1,83.3
M,17,5,84,1,85.71
M,17,4,120,7,72.14
M,16,3,107,13,85.82
M,16,5,106,8,64.32
F,17,5,107,8,70.83
M,17,1,114,13,86.55
F,17,5,88,4,97.19
F,17,4,110,10,87.78
F,18,3,101,12,65.91
M,16,4,85,20,52.81
F,17,5,109,11,93.43
M,17,2,114,10,57.62
M,22,1,92,11,74.5
M,18,5,100,18,52.88
M,16,5,102,6,69.63
M,18,5,97,1,89.92
M,16,2,108,9,65.27
M,18,5,94,15,94.21
M,16,3,112,11,79.95
M,17,5,107,10,76.84
M,17,5,91,8,61.82
F,18,5,98,5,98.31
F,17,4,90,10,94.85
F,19,5,108,2,63.88
M,18,5,117,5,66.12
F,17,5,101,5,90
F,18,3,108,3,51.42
F,18,5,106,19,80.77
M,19,1,95,11,76.52
M,18,4,106,4,51.7
M,17,4,95,19,81.87
F,17,2,107,19,96.57
F,20,2,107,6,89.84
F,18,2,85,10,54.04
M,18,3,102,3,63.79
M,18,3,107,1,84.53
F,17,4,97,15,97.96
F,18,3,102,4,94.09
M,17,4,103,15,50.91
M,18,1,109,10,87.11
M,17,5,102,15,76.64
F,18,4,95,4,83.18
M,18,5,105,11,86.2
F,18,3,103,19,50.57
F,19,5,124,17,87.67
F,18,2,108,17,97.89
F,18,3,98,16,93.74
M,17,1,103,2,95.95
F,18,1,84,17,63.61
F,17,1,99,3,67.37
F,17,5,88,13,68.96
F,18,5,84,14,88.17
M,18,3,104,18,67.45
F,18,4,90,13,92.16
F,17,1,114,9,77.64
F,19,3,90,5,55.43
M,18,1,99,16,51.8
M,18,4,113,17,93.47
M,17,5,109,15,81.92
M,17,3,116,12,98.36
F,18,3,120,20,70.19
F,18,4,83,20,60.08
F,17,5,93,8,70.08
F,18,5,107,20,72.15
M,17,4,104,1,98.21
F,18,2,99,17,89.1
F,17,3,97,16,87.43
M,18,2,98,12,66.53
M,18,2,106,1,89.7
M,18,5,94,2,65.26
F,17,3,106,10,76.62
F,17,3,91,15,52.81
M,18,4,109,15,54.24
M,17,5,98,14,62.63
F,19,2,104,2,59.32
F,18,2,121,6,59.56
F,18,3,93,5,59.86
M,18,1,102,13,56.63
F,18,4,119,20,56.44
M,17,5,107,10,78.79
F,17,5,110,6,54.67
F,17,3,96,19,78.52
F,17,5,104,13,57.26
M,19,5,101,9,67.44
M,20,5,109,8,87.1
M,19,5,119,17,69.92
F,18,5,107,18,65.6
F,18,1,108,6,78.34
F,17,3,105,4,61.61
F,17,5,111,5,96.57
F,18,5,112,17,51.4
F,18,1,97,15,86.43
F,17,5,105,1,74.66
F,18,3,94,18,76.32
M,19,1,100,2,62.46
F,18,5,102,7,54.52
F,18,1,95,12,92.67
F,17,5,97,2,95.76
F,17,5,86,10,52.89
F,17,5,104,16,51.45
F,17,2,104,2,80.83
M,18,5,114,12,84.67
F,19,5,104,1,99.06
F,19,4,118,17,80.64
F,18,5,82,12,50.72
F,17,3,103,13,54.54
F,17,3,91,11,83.31
F,17,5,96,13,63.17
F,17,2,85,8,66.83
F,18,2,112,8,72.76
M,18,3,113,16,53.85
M,17,5,102,17,62.26
M,17,4,105,18,96.58
F,17,4,91,18,86.27
F,17,4,104,12,77.06
F,17,5,98,13,77.8
M,18,5,106,5,84.16
M,19,5,95,5,65.48
F,18,2,93,18,52.59
F,17,5,112,15,97.6
M,18,5,92,11,86.49
F,18,4,84,7,88.33
F,18,2,104,14,57.28
F,18,4,92,4,87.11
F,17,5,111,9,68.52
F,17,2,96,15,89.12
F,18,1,116,6,68.26
F,17,2,85,18,91.82
M,18,2,95,7,75.63
M,18,5,78,5,77.46
F,17,4,99,14,62.87
F,18,3,99,11,67.85
F,18,1,100,7,90.04
M,18,4,112,6,61.04
M,18,5,98,6,63.27
F,17,4,85,17,53.82
F,17,1,109,7,82.14
F,17,4,111,13,79.04
F,19,5,77,3,93.86
F,17,3,90,7,95.95
F,21,5,111,8,58.53
M,18,3,93,12,95.23
M,18,2,84,6,84.19
F,17,4,113,5,63.36
M,17,4,102,19,95.45
F,18,3,97,10,92.83
M,21,4,100,9,61.5
F,20,3,109,14,70.03
F,19,5,114,8,64.27
M,17,5,106,7,60.26
F,18,2,82,16,97.67
M,18,4,94,5,83.76
M,19,4,83,19,97.7
F,18,4,97,20,83.91
F,20,5,114,7,95.31
F,18,1,111,18,77.15
F,16,5,96,20,57.57
F,16,5,109,13,89.11
F,15,2,91,2,77.15
F,15,5,96,1,70.41
F,16,5,98,5,76.15
F,15,1,95,2,64.67
M,16,2,113,16,56.9
M,16,5,91,8,51.23
F,17,5,104,13,50.12
F,17,5,117,5,78
F,15,5,108,4,62.85
F,16,1,102,16,96.6
F,15,4,112,9,68.95
F,15,2,108,18,72.24
F,16,2,92,4,64.64
F,17,3,103,17,68.74
F,15,4,105,12,96.98
M,16,3,85,5,73.84
M,17,5,96,14,74.85
M,15,2,117,17,57.9
M,15,2,94,20,53.31
M,16,5,99,16,61.3
M,15,4,85,14,58.86
M,15,5,101,3,50.7
M,17,3,82,17,51.03
F,16,4,114,11,69.89
F,15,1,117,20,51.26
F,16,1,91,4,93.43
M,16,5,87,8,98.36
F,16,4,92,3,93.94
F,16,4,104,3,71.25
F,16,4,91,19,93.39
F,15,2,98,1,70.55
F,16,2,98,5,79.83
M,17,3,110,20,66.13
F,16,1,90,13,65.22
F,16,5,118,2,61.25
F,15,2,101,11,83.43
F,16,2,104,18,85.86
F,15,2,111,17,61.24
F,15,5,126,15,91.92
M,16,5,94,7,62.4
F,18,5,83,17,72.82
M,15,4,89,8,66.99
F,16,2,93,5,71.53
M,15,4,99,8,58.04
M,16,3,88,14,66.88
F,15,1,88,1,99.23
F,16,5,81,2,50.66
F,16,4,120,15,90.32
M,16,4,93,14,81.69
M,15,3,86,20,55.65
F,15,4,95,1,82.16
F,16,5,86,17,82.39
M,15,3,105,1,97.07
F,16,1,98,9,61.59
F,17,5,110,5,78.32
F,19,2,90,15,82.18
F,17,3,104,12,68.03
F,15,4,114,4,87.94
F,16,1,89,5,56.72
F,16,1,76,18,57.49
F,17,4,93,9,82.29
F,16,3,95,8,97.16
F,18,2,91,12,95.65
F,19,3,94,6,59.24
M,18,4,81,6,86.69
F,18,2,101,7,89.11
F,19,1,108,5,83.65
F,16,3,101,8,78.91
F,17,5,98,1,65.99
F,16,3,99,20,60.24
F,16,4,79,14,60.58
F,16,4,101,10,73.73
M,17,5,116,12,85.46
F,16,1,101,1,77.89
F,16,5,116,13,68.47
M,17,1,92,16,84.49
M,16,5,94,16,62.45
M,17,3,97,16,66.8
F,16,5,108,18,54.81
F,19,1,101,19,85.44
F,17,5,104,1,55.39
F,20,3,103,15,97.57
F,17,3,106,9,77.3
M,17,5,104,2,66.6
F,16,1,120,2,84.67
F,17,1,102,14,80.24
F,17,4,83,12,87.27
F,18,5,81,11,95.73
F,16,1,105,18,65.38
F,16,3,100,9,61.91
F,18,3,84,10,54.09
F,16,2,106,11,93.07
F,16,2,82,12,89.85
F,18,1,107,4,57.33
M,16,2,96,10,79.81
F,16,5,112,13,52.71
F,16,2,111,6,89.2
F,16,3,87,4,74.27
M,18,5,85,9,75.73
F,16,2,89,5,60.2
M,17,5,102,18,83.61
F,17,5,89,19,71.87
M,16,3,82,10,52.11
F,17,5,105,19,52.22
F,16,5,102,16,51.47
M,17,3,100,11,73.35
M,17,1,82,5,62.56
M,16,5,104,18,93.8
F,16,3,101,9,51.31
M,16,5,119,6,77.45
M,15,5,87,2,73.07
M,15,5,98,13,79.97
M,15,5,95,17,87.7
F,16,5,101,7,64.76
F,16,1,116,4,56.98
F,17,1,102,18,50.88
F,17,5,102,2,89.2
F,16,5,101,4,94.96
M,17,5,106,14,58.24
M,17,5,111,16,77.41
M,17,5,91,17,65.24
F,17,5,98,17,90.37
M,16,2,109,3,80.86
F,17,3,96,20,96.08
F,17,5,84,14,70.33
M,16,5,93,3,88.99
M,17,1,93,12,93.39
M,19,4,92,4,98.54
M,17,5,95,14,57.91
F,17,4,76,17,88.45
F,16,3,98,11,90.25
M,16,5,97,4,96
F,17,5,100,5,63.01
M,17,5,96,16,85.11
M,18,4,109,10,82.26
M,17,2,89,4,94.81
M,18,5,102,9,50.31
F,16,1,118,10,77.4
M,17,5,111,14,81.51
M,16,5,105,8,99.86
M,16,5,102,6,71.72
M,18,5,109,3,86.16
M,18,5,84,9,83.13
M,19,3,93,10,57.26
M,18,3,97,12,71.65
M,16,4,106,2,62.25
M,19,5,95,16,60.05
F,16,1,86,20,51.36
F,17,5,89,19,68.9
M,20,4,107,20,70.86
F,18,2,114,15,84.76
M,18,5,84,17,50.95
M,19,2,87,14,71.39
M,17,3,105,3,97.13
M,18,3,110,18,66.34
M,19,5,100,11,78.6
F,18,5,99,6,69.84
F,19,5,94,14,82.77
F,18,3,106,3,61.94
F,17,5,95,13,57.64
F,17,3,96,11,88.11
F,17,5,93,7,86.83
F,18,4,110,14,89.24
F,17,5,97,17,79.67
F,17,3,102,13,58.83
F,18,5,107,5,70.27
F,18,1,109,13,61
F,17,4,99,2,76.64
F,18,4,88,19,60.78
F,18,1,89,20,62.42
M,18,5,111,1,66.26
F,17,4,104,17,89.9
F,18,4,119,7,62.78
M,18,1,99,19,98.35
M,18,1,100,13,88.39
M,17,4,105,16,81.12
F,18,2,103,5,61.97
F,18,3,112,17,67.24
F,18,5,104,1,62.46
F,18,2,92,3,67.1
F,19,2,91,10,69.12
F,17,5,104,3,58.49
F,17,2,94,9,82.54
F,18,3,101,4,77.45
F,18,4,80,11,73.72
F,19,1,96,9,70.8
F,18,4,108,13,68.71
M,17,2,108,9,68.56
F,18,5,101,4,76.76
F,17,5,87,15,63.47
F,17,5,92,3,98.54
M,18,3,103,8,93.64
F,18,4,107,2,69.85
F,18,5,110,13,50.68
F,18,3,101,18,57.86
F,17,1,103,18,74.87
F,17,3,98,6,96.83
M,18,3,90,12,60.63
M,18,5,98,2,94.81
F,17,1,84,5,63.97
F,18,4,102,18,59.18
F,18,5,98,10,85.97
M,18,3,96,20,79.88
F,17,3,105,14,85.04
F,17,1,114,16,72.96
F,18,1,100,2,94.92
F,18,4,100,4,89.13
F,19,3,88,18,52.53
F,18,2,108,20,57.55
F,18,1,114,13,62.6
F,17,1,87,15,89.69
M,18,2,104,10,77.62
M,18,5,106,18,88.61
M,17,3,82,4,64.4
M,19,5,125,5,70.47
M,18,3,93,9,80.58
F,18,4,112,7,79.38
F,17,1,93,7,58.36
F,18,5,103,10,87.18
F,19,5,117,5,62.73
F,18,1,98,19,97.95
F,18,5,88,17,68.41
M,17,2,96,17,99.77
M,18,5,111,1,75.12
